Actual (kWh),Predicted (kWh),Error (kWh)
121.2,115.38042,5.819583129882815
117.1,114.740486,2.359513854980463
117.8,111.93083,5.86916809082031
116.5,111.49625,5.003753662109375
116.0,110.37991,5.620086669921875
115.5,108.898636,6.6013641357421875
113.9,110.30195,3.5980514526367244
111.0,110.12078,0.8792190551757812
109.8,108.72535,1.074650573730466
110.1,108.48574,1.6142593383789006
108.6,108.31068,0.28932342529296307
108.6,106.65944,1.9405609130859318
106.9,106.56905,0.33094635009766193
108.0,105.225235,2.7747650146484375
112.4,107.0551,5.344900512695318
112.0,110.06622,1.93377685546875
114.2,110.48203,3.7179672241210966
120.7,114.26768,6.432322692871097
119.6,123.94633,-4.346327209472662
120.9,121.6882,-0.7882019042968693
130.0,129.4357,0.564300537109375
209.6,132.3889,77.21109924316406
151.6,159.9951,-8.395101928710943
143.1,154.1498,-11.049795532226568
143.1,148.84915,-5.749151611328131
143.1,149.26434,-6.164343261718756
141.3,150.75934,-9.459338378906239
136.4,149.69182,-13.291818237304682
143.6,147.64085,-4.040853881835943
144.3,149.73387,-5.433871459960926
145.2,149.89616,-4.696163940429699
145.1,147.96364,-2.863638305664068
145.5,148.39412,-2.8941192626953125
197.3,149.19257,48.10743408203126
166.4,172.97853,-6.578530883789057
144.9,154.38881,-9.488809204101557
144.1,149.30931,-5.209310913085943
144.0,146.41887,-2.4188690185546875
144.0,152.05305,-8.053054809570312
144.1,153.2549,-9.154898071289068
143.9,151.49593,-7.595925903320307
144.0,149.23413,-5.234130859375
141.1,147.9399,-6.839895629882818
134.1,141.10713,-7.007131958007818
114.3,132.82083,-18.520831298828128
102.2,118.09486,-15.894856262207028
107.4,111.895485,-4.495484924316401
104.0,112.62668,-8.626678466796875
102.6,112.7271,-10.127096557617193
102.0,106.7219,-4.721900939941406
102.3,105.99158,-3.691577148437503
100.1,105.48977,-5.389768981933599
98.7,102.96741,-4.267407226562497
99.0,100.82607,-1.8260726928710938
100.9,101.78183,-0.8818298339843693
102.5,102.76387,-0.2638702392578125
102.0,104.298996,-2.2989959716796875
101.3,103.97586,-2.675860595703128
99.0,103.27282,-4.272819519042969
100.5,101.74636,-1.2463607788085938
104.6,104.18256,0.41743621826171307
96.2,106.09872,-9.898716735839841
90.8,100.86144,-10.061442565917972
86.9,96.2539,-9.353898620605463
86.1,93.43451,-7.334509277343756
84.7,93.6054,-8.905400085449216
82.3,92.09407,-9.794070434570315
81.5,90.582756,-9.082756042480469
82.8,89.28855,-6.488551330566409
89.0,91.28707,-2.2870712280273438
87.8,96.1477,-8.347697448730472
88.4,93.38792,-4.987916564941401
90.9,94.46022,-3.560220336914057
93.1,95.72201,-2.6220077514648494
93.1,96.587746,-3.487745666503912
98.5,96.97916,1.520843505859375
101.4,98.666046,2.7339538574218807
103.3,100.81245,2.487553405761716
105.0,101.87586,3.1241378784179688
105.5,104.26657,1.233428955078125
118.7,105.97317,12.726832580566409
208.4,113.458694,94.9413055419922
138.4,155.98201,-17.582009887695307
144.0,147.80809,-3.8080902099609375
144.0,145.02563,-1.025634765625
144.0,143.45616,0.5438385009765625
130.5,144.66823,-14.168228149414062
103.5,133.13675,-29.636749267578125
105.1,119.276405,-14.176405334472662
109.4,116.80471,-7.404710388183588
109.4,118.22639,-8.826387023925776
105.4,118.97904,-13.57904205322265
106.6,118.15964,-11.55963745117188
112.1,118.13027,-6.030271911621099
109.7,116.58592,-6.885922241210935
106.6,113.733826,-7.133825683593756
108.8,111.051186,-2.251185607910159
111.0,111.78915,-0.7891464233398438
111.4,112.27207,-0.8720718383789006
108.1,111.73789,-3.637892150878912
107.3,110.07813,-2.778132629394534
105.0,108.726,-3.7259979248046875
105.0,108.01003,-3.0100326538085938
105.0,107.71552,-2.7155227661132812
105.6,108.27567,-2.675672912597662
105.0,108.76877,-3.768768310546875
105.5,108.810974,-3.31097412109375
105.1,108.90574,-3.805738830566412
103.8,108.9439,-5.143901062011722
102.7,108.02526,-5.325260925292966
101.0,107.86906,-6.869056701660156
99.1,106.970726,-7.870726013183599
99.0,105.944,-6.944000244140625
99.0,106.62899,-7.628990173339844
98.9,107.07121,-8.171212768554682
97.5,106.33084,-8.830841064453125
100.9,105.755455,-4.855455017089838
109.7,109.335175,0.36482543945312784
110.8,117.84132,-7.041316223144534
115.6,114.75991,0.8400894165039006
113.9,117.4759,-3.5758987426757756
114.5,121.86107,-7.3610687255859375
117.2,122.78215,-5.582150268554685
117.0,124.341255,-7.341255187988281
113.8,125.78341,-11.983409118652347
111.0,125.75059,-14.750587463378906
110.7,124.32492,-13.624920654296872
115.4,122.96321,-7.563211059570307
137.1,122.41159,14.68840942382812
254.3,127.31163,126.98836975097657
217.5,168.38872,49.11128234863281
206.4,185.34088,21.059118652343756
201.1,187.49644,13.603555297851557
203.2,182.63155,20.568453979492176
176.2,183.01907,-6.819073486328136
124.3,160.38441,-36.084414672851565
120.0,131.63129,-11.63128662109375
113.8,120.10738,-6.307383728027347
103.9,119.86719,-15.967187499999994
103.5,110.47487,-6.9748687744140625
98.2,107.998604,-9.798603820800778
88.2,103.841064,-15.641064453124997
89.7,96.67693,-6.976933288574216
90.4,95.76488,-5.364877319335932
90.2,94.62373,-4.42373352050781
91.4,94.497986,-3.0979858398437443
95.4,95.74659,-0.34658966064452557
96.8,97.28956,-0.4895584106445341
99.8,98.14511,1.6548889160156222
101.4,99.87744,1.5225585937500057
102.0,102.51016,-0.510162353515625
102.0,103.2449,-1.244903564453125
101.5,103.29384,-1.7938385009765625
99.0,102.321434,-3.3214340209960938
99.0,101.52636,-2.5263595581054688
96.0,100.34931,-4.349311828613281
94.8,99.77786,-4.977862548828128
93.0,98.32363,-5.323631286621094
93.0,98.245674,-5.245674133300781
93.0,98.37974,-5.379737854003906
93.0,98.77247,-5.772468566894531
93.6,98.56979,-4.969793701171881
93.0,99.75876,-6.758758544921875
93.0,99.51133,-6.511329650878906
96.2,100.18559,-3.9855926513671847
104.0,103.83026,0.16973876953125
102.4,109.75917,-7.359170532226557
108.0,106.033806,1.9661941528320312
109.2,109.20611,-0.006108093261715908
112.4,112.25834,0.14166107177734943
115.2,116.98599,-1.7859924316406222
115.5,121.35224,-5.852241516113281
118.4,123.460396,-5.060395812988276
141.9,124.5071,17.392897033691412
142.8,130.73137,12.068630981445324
117.0,133.47868,-16.478683471679688
129.0,127.36649,1.6335067749023438
146.7,129.76888,16.931124877929676
170.0,131.41524,38.58476257324219
134.2,131.03174,3.1682617187499886
130.8,132.79166,-1.9916564941406136
118.7,131.52179,-12.821789550781247
107.5,126.23292,-18.73291778564453
99.5,120.757706,-21.257705688476562
106.2,115.92958,-9.72958068847656
115.6,114.25161,1.3483901977539006
107.1,118.491135,-11.391134643554693
100.7,115.20537,-14.505368041992185
99.3,110.45537,-11.15536804199219
95.3,109.03505,-13.735049438476565
96.0,105.647705,-9.647705078125
96.5,104.85438,-8.354377746582031
97.4,104.11348,-6.713479614257807
96.5,104.31743,-7.8174285888671875
96.0,103.01733,-7.017326354980469
95.3,102.3295,-7.029498291015628
94.6,100.846664,-6.246664428710943
91.4,99.44109,-8.041093444824213
93.0,98.29361,-5.293609619140625
91.0,98.73934,-7.739341735839844
90.0,97.81801,-7.8180084228515625
88.6,97.003,-8.402998352050787
87.0,95.87862,-8.878616333007812
87.0,95.10637,-8.106369018554688
86.9,95.08114,-8.181138610839838
83.6,94.94298,-11.342977905273443
83.1,93.18796,-10.08795776367188
82.5,93.32822,-10.828216552734375
84.0,93.39649,-9.396492004394531
83.1,94.04361,-10.94360961914063
80.9,93.28524,-12.385240173339838
81.0,92.10425,-11.104248046875
84.0,93.548615,-9.548614501953125
92.9,95.8906,-2.9906021118164006
89.6,101.95194,-12.351942443847662
93.0,97.03139,-4.0313873291015625
97.6,100.28798,-2.687979125976568
102.3,102.14642,0.15357666015624716
105.4,106.637474,-1.237474060058588
103.4,108.062485,-4.662484741210932
106.0,110.03248,-4.032478332519531
109.0,112.10199,-3.10198974609375
105.9,114.7474,-8.847398376464838
103.0,116.33243,-13.332427978515625
115.7,117.81345,-2.1134536743164034
143.1,124.661705,18.43829498291015
135.4,133.8607,1.5392974853515682
124.0,134.93872,-10.938720703125
122.9,131.10918,-8.209176635742182
114.3,129.95583,-15.655825805664065
104.0,128.4518,-24.451797485351562
97.4,124.22739,-26.82738647460937
99.5,117.87066,-18.37065887451172
101.6,113.61979,-12.019789123535162
104.3,111.74201,-7.442012023925784
103.8,111.71787,-7.917872619628909
100.2,110.43962,-10.239620971679685
104.4,107.82819,-3.4281936645507756
107.2,110.24788,-3.0478790283203097
105.2,111.74655,-6.546551513671872
102.4,110.75344,-8.353440856933588
101.6,108.47306,-6.873060607910162
99.8,106.88597,-7.08597106933594
99.2,105.638054,-6.438053894042966
99.0,105.190315,-6.190315246582031
99.4,104.90825,-5.508248901367182
102.1,105.12867,-3.028669738769537
101.2,105.894554,-4.694554138183591
98.8,106.115776,-7.315776062011722
96.2,105.129875,-8.929875183105466
96.5,103.71492,-7.2149200439453125
97.9,102.837105,-4.937104797363276
96.0,102.373215,-6.3732147216796875
95.5,101.769615,-6.269615173339844
93.0,102.1032,-9.103202819824219
94.8,100.725,-5.924998474121097
96.0,101.17317,-5.1731719970703125
96.0,101.2331,-5.233100891113281
96.0,101.190704,-5.190704345703125
98.2,102.76691,-4.566906738281247
100.6,104.54408,-3.944082641601568
107.9,107.87208,0.027922058105474434
106.2,119.54138,-13.341381835937497
109.0,114.50997,-5.509971618652344
110.8,115.4922,-4.692202758789065
115.6,119.61193,-4.011930847167974
116.0,121.7872,-5.787200927734375
120.5,122.63663,-2.136627197265625
123.8,124.3151,-0.5151016235351591
118.9,126.03487,-7.134866333007807
114.9,127.1007,-12.200700378417963
112.4,126.886826,-14.486825561523432
107.8,125.80727,-18.007266235351565
108.3,122.672745,-14.372744750976565
108.5,121.05614,-12.556137084960938
113.5,119.461815,-5.961814880371094
117.1,122.57365,-5.473646545410162
120.5,125.2572,-4.7572021484375
115.3,125.94508,-10.645083618164065
113.1,123.43961,-10.339613342285162
114.5,121.992,-7.491996765136719
113.4,122.81477,-9.414773559570307
108.7,123.0143,-14.31429748535156
112.9,121.00719,-8.107186889648432
108.6,122.85938,-14.259382629394537
110.7,121.11799,-10.417988586425778
109.4,117.005005,-7.605004882812494
110.5,115.38043,-4.88043212890625
111.0,115.765,-4.7649993896484375
111.0,115.41314,-4.413139343261719
111.0,115.27154,-4.271537780761719
108.5,114.71465,-6.214653015136719
107.0,113.00507,-6.005073547363281
105.0,110.40739,-5.407386779785156
104.9,109.1535,-4.253503417968744
105.0,107.44443,-2.444427490234375
105.0,107.25194,-2.2519378662109375
103.0,107.22201,-4.222007751464844
100.9,106.665794,-5.765794372558588
99.3,104.90547,-5.605471801757815
99.1,103.62019,-4.520193481445318
100.6,103.95846,-3.3584579467773494
99.0,104.421875,-5.421875
99.0,104.43437,-5.4343719482421875
99.0,104.261696,-5.261695861816406
99.0,103.86594,-4.865936279296875
96.9,104.54232,-7.642320251464838
98.8,103.96354,-5.163539123535159
99.7,104.67203,-4.972027587890622
102.8,106.94378,-4.143778991699222
107.0,110.07695,-3.0769500732421875
111.8,112.87636,-1.0763580322265653
115.8,115.99971,-0.19971008300781534
119.5,119.134605,0.36539459228515625
122.5,120.48571,2.0142898559570312
123.4,121.515594,1.8844055175781307
126.2,122.173805,4.026194763183597
128.0,123.884605,4.115394592285156
116.9,125.37791,-8.4779067993164
120.1,123.14174,-3.041738891601568
115.4,123.548775,-8.148774719238276
104.1,120.10723,-16.007231140136724
112.0,112.46137,-0.46137237548828125
107.1,113.145744,-6.045744323730474
108.5,110.96479,-2.4647903442382812
117.9,111.37967,6.520330810546881
121.6,116.33211,5.267892456054682
118.0,118.462814,-0.4628143310546875
116.5,117.53357,-1.0335693359375
120.0,117.26031,2.7396926879882812
119.8,119.086464,0.7135360717773409
120.0,118.856255,1.1437454223632812
119.6,120.03934,-0.4393371582031307
116.7,120.47899,-3.7789886474609347
114.5,118.95703,-4.45703125
115.9,117.4613,-1.5613037109374943
117.0,117.69691,-0.6969070434570312
118.2,118.864,-0.6639984130859347
119.2,119.27599,-0.07599334716796591
117.2,120.36154,-3.161541748046872
117.0,119.74112,-2.741119384765625
117.0,118.71785,-1.7178497314453125
117.2,118.5584,-1.358403015136716
117.9,118.81924,-0.9192367553710881
116.7,118.40207,-1.7020690917968722
114.0,117.4712,-3.4711990356445312
113.3,115.865486,-2.565486145019534
112.8,115.43423,-2.6342269897460966
111.1,115.69358,-4.593580627441412
111.0,114.25105,-3.2510528564453125
111.7,114.18319,-2.483189392089841
111.5,115.143234,-3.6432342529296875
113.0,114.61916,-1.6191635131835938
111.4,115.38343,-3.9834304809570256
111.3,115.158646,-3.8586456298828153
112.0,115.44845,-3.4484481811523438
